set,population,alpha,stratum,contrast,seeds,mean,ci_low,ci_high,evidence_class
pooled-family-sets,own-domain,0.01,multi<0.9,med_minus_mean,10,0.013503875178408264,-0.003311359413362607,0.048742617505291644,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,single>=0.9,ctk_mean,10,0.03325081001259263,0.016127973241622313,0.06104467248689803,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,single>=0.9,ctk_trim,10,0.02186146068328661,-0.0008472690814852399,0.04244286999826016,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,single>=0.9,ctk_med,10,0.10050538449239874,0.07019675030620026,0.13096142653815995,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,single>=0.9,trim_minus_mean,10,-0.011389349329306023,-0.040645621998662264,0.020165258840433502,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,single>=0.9,med_minus_mean,10,0.06725457447980611,0.03236007881429288,0.0949662990869318,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,multi<0.9,ctk_mean,10,0.11182685254582969,0.062052581566981575,0.18328581038251343,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,multi<0.9,ctk_trim,10,0.12216628136518928,0.07149001922454055,0.21302132134761553,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,multi<0.9,ctk_med,10,0.11857396152388418,0.0815391047957647,0.18216308596542433,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,multi<0.9,trim_minus_mean,10,0.01033942881935961,-0.014053440620284822,0.03199267502256684,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,multi<0.9,med_minus_mean,10,0.006747108978054457,-0.02388636771528192,0.024426476901442326,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,single>=0.9,ctk_mean,10,0.1408614911511207,0.08952566079148505,0.17841635869280528,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,single>=0.9,ctk_trim,10,0.1385318639603748,0.08965635203369456,0.17969808833424114,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,single>=0.9,ctk_med,10,0.12773822530179688,0.07627105450210953,0.18351432110169744,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,single>=0.9,trim_minus_mean,10,-0.002329627190745846,-0.015986580300730014,0.009817729811393606,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,single>=0.9,med_minus_mean,10,-0.013123265849323773,-0.06148090322272258,0.02389702593388463,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,multi<0.9,ctk_mean,10,0.108862514465461,0.06691534140945643,0.18292448562926622,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,multi<0.9,ctk_trim,10,0.1076152413075995,0.07147611781189983,0.15230640484142738,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,multi<0.9,ctk_med,10,0.09192534201786079,0.04767247168258589,0.1379517261857842,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,multi<0.9,trim_minus_mean,10,-0.0012472731578615128,-0.03761523363713751,0.021204300973197296,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,multi<0.9,med_minus_mean,10,-0.016937172447600218,-0.058431546120183864,0.029252502631691192,D-post-hoc-diagnostic
