representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,revmob,federation-wide,339,0.3463687150837989,0.08752327746741155,0.25884543761638734,central-full-exposure-recall
call-graph,family,revmob,own-domain,330,0.06666666666666667,0.3333333333333333,-0.26666666666666666,central-full-exposure-recall
call-graph,family,revmob,own-domain,331,0.4444444444444444,0.16666666666666666,0.2777777777777778,central-full-exposure-recall
call-graph,family,revmob,own-domain,332,0.1111111111111111,0.16666666666666666,-0.05555555555555555,central-full-exposure-recall
call-graph,family,revmob,own-domain,333,0.2,0.4666666666666667,-0.26666666666666666,central-full-exposure-recall
call-graph,family,revmob,own-domain,334,0.8666666666666667,0.8666666666666667,0.0,central-full-exposure-recall
call-graph,family,revmob,own-domain,335,0.06666666666666667,0.13333333333333333,-0.06666666666666667,central-full-exposure-recall
call-graph,family,revmob,own-domain,336,0.28,0.08,0.2,central-full-exposure-recall
call-graph,family,revmob,own-domain,339,0.47058823529411764,0.17647058823529413,0.2941176470588235,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,330,0.3304530275717367,0.26322069210083043,0.06723233547090633,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,331,0.25615726703052355,0.16404121786171513,0.09211604916880843,central-full-exposure-recall
