hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.01,ctk-trimmed-minus-ctk-mean,,10,0.002300209043145504,-0.0018095096459735532,5,-0.00653250261528154,0.013468824914992511,greater,-0.03,0.0009765625,0.001953125,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.05,ctk-trimmed-minus-ctk-mean,,10,-0.0038889666964793566,-0.013808007143356754,4,-0.022880709673062764,0.018504944648085154,greater,-0.03,0.0654296875,0.0654296875,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.05,ctk-trimmed-minus-ctk-mean,,10,-0.006573151503093805,0.00298842195227772,5,-0.028491455376773507,0.009124223304373846,greater,-0.03,0.0322265625,0.0322265625,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.1,ctk-trimmed-minus-ctk-mean,,10,-0.0009189449875577404,0.005267721633193723,6,-0.01679312016413876,0.013452894095238657,greater,-0.03,0.0068359375,0.013671875,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.1,ctk-trimmed-minus-ctk-mean,,10,-0.0020033096496555936,-0.000673083301535482,5,-0.013338017858935956,0.007525727703143799,greater,-0.03,0.001953125,0.00390625,0.03,false,true,true
H-CTRL-2,primary-set,fedavg,own-domain,0.01,ctk-trimmed-minus-ctk-mean,,10,-0.019601432609245108,-0.015642162044792504,4,-0.04946080011649466,0.006041479245393789,greater,-0.03,0.2158203125,0.2158203125,0.03,false,false,false
H-CTRL-2,primary-set,fedavg,federation-wide,0.01,ctk-trimmed-minus-ctk-mean,,10,0.007000256853549244,-0.0012097587043640723,5,-0.008081701047157878,0.028226819246395564,greater,-0.03,0.0009765625,0.001953125,0.03,false,true,true
H-CTRL-2,primary-set,fedavg,own-domain,0.05,ctk-trimmed-minus-ctk-mean,,10,0.0005034803881644901,-0.00374947582657284,4,-0.023253565157430888,0.03266725183206015,greater,-0.03,0.0419921875,0.0419921875,0.03,false,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.05,ctk-trimmed-minus-ctk-mean,,10,-0.0007170151242015754,0.009715229924448565,6,-0.025497604956105775,0.020765719516271545,greater,-0.03,0.0244140625,0.0244140625,0.03,false,true,true
H-CTRL-2,primary-set,fedavg,own-domain,0.1,ctk-trimmed-minus-ctk-mean,,10,-0.0020097284551658266,-0.002300144249408609,4,-0.023595283383146724,0.016317749156506,greater,-0.03,0.013671875,0.02734375,0.03,false,true,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.1,ctk-trimmed-minus-ctk-mean,,10,0.003408199526222777,0.005638998648506116,6,-0.011036280029607628,0.015518795551183118,greater,-0.03,0.001953125,0.00390625,0.03,false,true,true
H-CTRL-2,replication-set,fedavg,own-domain,0.01,ctk-trimmed-minus-ctk-mean,,10,0.015920690887206723,0.01085754720585911,6,-0.013506396185588371,0.041575891620119945,greater,-0.03,0.009765625,0.01953125,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.01,ctk-trimmed-minus-ctk-mean,,10,-0.002387874065832604,-0.005636668466230413,2,-0.015601711238950594,0.018015908579986955,greater,-0.03,0.001953125,0.00390625,0.03,false,true,true
H-CTRL-2,replication-set,fedavg,own-domain,0.05,ctk-trimmed-minus-ctk-mean,,10,-0.010406778846156827,-0.0045355555913228485,4,-0.033447650937309115,0.009043655945374303,greater,-0.03,0.080078125,0.080078125,0.03,false,false,false
H-CTRL-2,replication-set,fedavg,federation-wide,0.05,ctk-trimmed-minus-ctk-mean,,10,-0.012254095888970223,-0.00344200148195023,4,-0.042746655795967786,0.0007871060950233714,greater,-0.03,0.0419921875,0.0419921875,0.03,false,false,false
H-CTRL-2,replication-set,fedavg,own-domain,0.1,ctk-trimmed-minus-ctk-mean,,10,0.0025101690474861825,0.002910771758133257,6,-0.015686797562937418,0.01804830077830981,greater,-0.03,0.0048828125,0.009765625,0.03,false,true,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.1,ctk-trimmed-minus-ctk-mean,,10,-0.007445349579108839,0.0005637933762388803,5,-0.022919395879999572,0.0034577757182532145,greater,-0.03,0.0068359375,0.013671875,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.01,ctk-median-minus-ctk-mean,,10,-0.0026432827300616425,-0.004103739088797326,5,-0.01649056595370147,0.012702305767594497,greater,-0.03,0.0048828125,0.009765625,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.01,ctk-median-minus-ctk-mean,,10,-0.0009196600712994441,0.002714456605047655,6,-0.02152940446546565,0.012936694162435952,greater,-0.03,0.009765625,0.009765625,0.03,false,true,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.05,ctk-median-minus-ctk-mean,,10,0.039732629051296695,0.04495913996966627,9,0.004632054142232969,0.05701442087232504,greater,-0.03,0.001953125,0.00390625,0.03,false,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.05,ctk-median-minus-ctk-mean,,10,0.031657364013568556,0.027942173340575555,8,0.013803119227791235,0.04666550878875014,greater,-0.03,0.0009765625,0.001953125,0.03,false,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.1,ctk-median-minus-ctk-mean,,10,-0.013795169128653218,0.0029205242928266872,5,-0.05547887345740039,0.0156332712195189,greater,-0.03,0.2158203125,0.2158203125,0.03,false,false,false
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.1,ctk-median-minus-ctk-mean,,10,-0.0020484721816695973,0.007114995640962685,5,-0.034168440965313,0.01805698962782746,greater,-0.03,0.0419921875,0.0419921875,0.03,false,false,false
H-CTRL-2,primary-set,fedavg,own-domain,0.01,ctk-median-minus-ctk-mean,,10,-0.002411556399563758,-0.0006073331379432279,5,-0.029999532332035825,0.01613269127537291,greater,-0.03,0.0185546875,0.037109375,0.03,false,true,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.01,ctk-median-minus-ctk-mean,,10,0.017455380136454375,0.009177693962599959,6,0.0011633359531685538,0.04551983236810423,greater,-0.03,0.0009765625,0.001953125,0.03,false,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.05,ctk-median-minus-ctk-mean,,10,0.014370743323552565,0.0034098953572745394,5,-0.01278634005387803,0.0481990964597644,greater,-0.03,0.013671875,0.02734375,0.03,false,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.05,ctk-median-minus-ctk-mean,,10,0.01921300611662426,0.01357644461433305,7,-0.0009850421723434412,0.04011321209296316,greater,-0.03,0.0009765625,0.001953125,0.03,false,false,true
