representation,seed,arm,n_scores,nonfinite,min,max,abs_gt_1e3,abs_gt_1e4,evidence_class
call-graph,336,fedavg__full-exposure__dose-all,227875,0,-52633.86328125,43102.19921875,752,106,D-post-hoc-diagnostic
call-graph,336,fedavg__peer-present__dose-all,227875,0,-63023.35546875,26769.18359375,827,106,D-post-hoc-diagnostic
call-graph,336,local__peer-present__dose-all,227875,0,-366212.84375,279314.90625,3964,3887,D-post-hoc-diagnostic
call-graph,337,central__family-absent-everywhere__dose-all,226129,0,-114928.2109375,3479.91357421875,694,586,D-post-hoc-diagnostic
call-graph,337,central__full-exposure__dose-all,226129,0,-129057.625,12819.150390625,690,259,D-post-hoc-diagnostic
call-graph,337,central__peer-present__dose-all,226129,0,-131768.671875,2064.24365234375,719,356,D-post-hoc-diagnostic
call-graph,337,fedavg__family-absent-everywhere__dose-all,226129,0,-57241.2265625,83887.703125,599,49,D-post-hoc-diagnostic
call-graph,337,fedavg__full-exposure__dose-all,226129,0,-61067.2265625,138662.46875,612,66,D-post-hoc-diagnostic
call-graph,337,fedavg__peer-present__dose-all,226129,0,-52616.5234375,84183.2734375,608,53,D-post-hoc-diagnostic
call-graph,337,local__peer-present__dose-all,226129,0,-420388.25,200100.734375,2855,2824,D-post-hoc-diagnostic
call-graph,338,central__family-absent-everywhere__dose-all,227174,0,-352687.125,49.56753921508789,837,695,D-post-hoc-diagnostic
call-graph,338,central__full-exposure__dose-all,227174,0,-183304.078125,4475.88330078125,807,481,D-post-hoc-diagnostic
call-graph,338,central__peer-present__dose-all,227174,0,-169003.6875,4255.1240234375,806,374,D-post-hoc-diagnostic
call-graph,338,fedavg__family-absent-everywhere__dose-all,227174,0,-16107.2421875,34743.01953125,660,70,D-post-hoc-diagnostic
call-graph,338,fedavg__full-exposure__dose-all,227174,0,-38926.71484375,20681.7734375,571,71,D-post-hoc-diagnostic
call-graph,338,fedavg__peer-present__dose-all,227174,0,-29938.888671875,38395.18359375,597,120,D-post-hoc-diagnostic
call-graph,338,local__peer-present__dose-all,227174,0,-297520.78125,405190.0625,3309,3242,D-post-hoc-diagnostic
call-graph,339,central__family-absent-everywhere__dose-all,207470,0,-133228.3125,11122.1015625,755,497,D-post-hoc-diagnostic
call-graph,339,central__full-exposure__dose-all,207470,0,-177195.015625,1173.027099609375,754,586,D-post-hoc-diagnostic
call-graph,339,central__peer-present__dose-all,207470,0,-119341.5,33657.75,720,289,D-post-hoc-diagnostic
call-graph,339,fedavg__family-absent-everywhere__dose-all,207470,0,-102812.8515625,9757.4521484375,668,115,D-post-hoc-diagnostic
call-graph,339,fedavg__full-exposure__dose-all,207470,0,-100280.1171875,14643.6142578125,723,114,D-post-hoc-diagnostic
call-graph,339,fedavg__peer-present__dose-all,207470,0,-76738.6328125,33276.6171875,636,216,D-post-hoc-diagnostic
call-graph,339,local__peer-present__dose-all,207470,0,-517244.34375,208124.296875,3688,3608,D-post-hoc-diagnostic
report-json,330,central__family-absent-everywhere__dose-all,224980,0,-141.4678497314453,205.88040161132812,0,0,D-post-hoc-diagnostic
report-json,330,central__full-exposure__dose-all,224980,0,-216.83981323242188,229.9202117919922,0,0,D-post-hoc-diagnostic
report-json,330,central__peer-present__dose-all,224980,0,-130.65858459472656,244.7785186767578,0,0,D-post-hoc-diagnostic
report-json,330,fedavg__family-absent-everywhere__dose-all,224980,0,-102.9281234741211,216.53330993652344,0,0,D-post-hoc-diagnostic
report-json,330,fedavg__full-exposure__dose-all,224980,0,-108.49390411376953,172.2764892578125,0,0,D-post-hoc-diagnostic
report-json,330,fedavg__peer-present__dose-all,224980,0,-99.06978607177734,173.04989624023438,0,0,D-post-hoc-diagnostic
report-json,330,local__peer-present__dose-all,224980,0,-55.23154830932617,90.05242156982422,0,0,D-post-hoc-diagnostic
report-json,331,central__family-absent-everywhere__dose-all,228027,0,-182.18255615234375,205.92202758789062,0,0,D-post-hoc-diagnostic
