representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,adwo,federation-wide,335,0.4134366925064599,0.3798449612403101,0.03359173126614984,central-full-exposure-recall
call-graph,family,adwo,federation-wide,336,0.78125,0.515625,0.265625,central-full-exposure-recall
call-graph,family,adwo,federation-wide,337,0.5,0.17938931297709923,0.32061068702290074,central-full-exposure-recall
call-graph,family,adwo,federation-wide,338,0.34098360655737703,0.15737704918032788,0.18360655737704915,central-full-exposure-recall
call-graph,family,adwo,federation-wide,339,0.8746081504702194,0.9529780564263323,-0.07836990595611282,central-full-exposure-recall
call-graph,family,adwo,own-domain,331,0.38571428571428573,0.21428571428571427,0.17142857142857146,central-full-exposure-recall
call-graph,family,adwo,own-domain,332,0.4872881355932203,0.3516949152542373,0.13559322033898302,central-full-exposure-recall
call-graph,family,adwo,own-domain,333,0.31802120141342755,0.3745583038869258,-0.056537102473498246,central-full-exposure-recall
call-graph,family,adwo,own-domain,334,0.31666666666666665,0.22333333333333333,0.09333333333333332,central-full-exposure-recall
call-graph,family,adwo,own-domain,335,0.38317757009345793,0.367601246105919,0.015576323987538943,central-full-exposure-recall
call-graph,family,adwo,own-domain,336,0.7241379310344828,0.5517241379310345,0.1724137931034483,central-full-exposure-recall
call-graph,family,adwo,own-domain,337,0.5094339622641509,0.2641509433962264,0.24528301886792453,central-full-exposure-recall
call-graph,family,adwo,own-domain,338,0.42,0.22,0.19999999999999998,central-full-exposure-recall
call-graph,family,airpush,federation-wide,330,0.976027397260274,0.9460616438356164,0.02996575342465757,central-full-exposure-recall
call-graph,family,airpush,federation-wide,331,0.8380797396257119,0.9462978030919447,-0.10821806346623275,central-full-exposure-recall
call-graph,family,airpush,federation-wide,332,0.8340348767288034,0.6055321707757065,0.22850270595309685,central-full-exposure-recall
call-graph,family,airpush,federation-wide,333,0.7525581395348837,0.7246511627906976,0.027906976744186074,central-full-exposure-recall
call-graph,family,airpush,federation-wide,334,0.6143154968728284,0.4475330090340514,0.16678248783877697,central-full-exposure-recall
call-graph,family,airpush,federation-wide,335,0.6760404949381328,0.5922384701912261,0.08380202474690668,central-full-exposure-recall
call-graph,family,airpush,federation-wide,336,0.8204736440030558,0.5653170359052712,0.2551566080977846,central-full-exposure-recall
call-graph,family,airpush,federation-wide,337,0.9240607513988809,0.8784972022382095,0.0455635491606714,central-full-exposure-recall
call-graph,family,airpush,federation-wide,338,0.7220163083765753,0.3780578206078577,0.34395848776871757,central-full-exposure-recall
call-graph,family,airpush,federation-wide,339,0.7330803289057558,0.4946236559139785,0.2384566729917773,central-full-exposure-recall
call-graph,family,airpush,own-domain,330,0.8717948717948718,0.7948717948717948,0.07692307692307698,central-full-exposure-recall
call-graph,family,airpush,own-domain,331,0.7096774193548387,0.8709677419354839,-0.16129032258064513,central-full-exposure-recall
call-graph,family,airpush,own-domain,332,0.9,1.0,-0.09999999999999998,central-full-exposure-recall
call-graph,family,airpush,own-domain,333,0.8357142857142857,0.9571428571428572,-0.12142857142857144,central-full-exposure-recall
call-graph,family,airpush,own-domain,334,0.6129032258064516,0.8451612903225807,-0.23225806451612907,central-full-exposure-recall
call-graph,family,airpush,own-domain,335,0.7677725118483413,0.985781990521327,-0.2180094786729857,central-full-exposure-recall
