measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
fedavg-ctk,mcndroid-static,contrast-macro,,own-domain,0.05,10,0.21197515926609983,0.1381046053317567,0.2700644401710203
fedavg-ctk,mcndroid-static,family,adwo,federation-wide,0.05,10,0.16800464111795427,0.1441129782620379,0.19187698103275375
fedavg-ctk,mcndroid-static,family,adwo,own-domain,0.05,8,0.15633869708638642,0.11462140333165069,0.182138673964568
fedavg-ctk,mcndroid-static,family,airpush,federation-wide,0.05,10,0.31909234432607747,0.26166821624347714,0.3865214641924849
fedavg-ctk,mcndroid-static,family,airpush,own-domain,0.05,10,0.34849936412339,0.23053814160056177,0.47603289555342976
fedavg-ctk,mcndroid-static,family,dowgin,federation-wide,0.05,10,0.014669492947031793,0.0025079994146459924,0.026297139481792093
fedavg-ctk,mcndroid-static,family,dowgin,own-domain,0.05,9,0.0024715007716132765,-0.06787998113168978,0.0389092855103701
fedavg-ctk,mcndroid-static,family,gappusin,federation-wide,0.05,10,0.30978181183133136,0.28547102306175237,0.3486484055369557
fedavg-ctk,mcndroid-static,family,gappusin,own-domain,0.05,6,0.12819582499768248,0.058623417721518994,0.18473304984644465
fedavg-ctk,mcndroid-static,family,hiddad,federation-wide,0.05,10,0.035264621450902804,0.016303199199267756,0.0832289418101037
fedavg-ctk,mcndroid-static,family,hiddad,own-domain,0.05,8,-0.002900306076844987,-0.028155604962978593,0.020112322292214116
fedavg-ctk,mcndroid-static,family,leadbolt,federation-wide,0.05,10,0.3085061275964351,0.2628522012357213,0.3695074539179176
fedavg-ctk,mcndroid-static,family,leadbolt,own-domain,0.05,7,0.2683802278438077,0.2267300643607264,0.33256481578902725
fedavg-ctk,mcndroid-static,family,revmob,federation-wide,0.05,10,0.36685639889459204,0.2674250350318787,0.47409307748816293
fedavg-ctk,mcndroid-static,family,revmob,own-domain,0.05,8,0.4100816993464052,0.2462804458333281,0.5736111111111112
fedavg-ctk,mcndroid-static,priority-macro,,federation-wide,0.05,10,0.23730094405894211,0.19718352687144822,0.28784827657201595
fedavg-ctk,mcndroid-static,priority-macro,,own-domain,0.05,9,0.16948741894204145,0.12410448508743649,0.22991747367628015
fedavg-ctk,report-json,contrast-macro,,federation-wide,0.05,10,0.1666048722758909,0.14288695491821096,0.1905589019055209
fedavg-ctk,report-json,contrast-macro,,own-domain,0.05,10,0.09262854087437919,0.06303941765243765,0.11328996114110873
fedavg-ctk,report-json,family,adwo,federation-wide,0.05,10,0.03119041534640505,0.01551414772125224,0.04989697114174263
fedavg-ctk,report-json,family,adwo,own-domain,0.05,8,0.011143383644884933,-0.007401548723102932,0.029211365954816704
fedavg-ctk,report-json,family,airpush,federation-wide,0.05,10,0.25211262516782473,0.22725796501623516,0.2940200393255315
fedavg-ctk,report-json,family,airpush,own-domain,0.05,10,0.15150644275914832,0.08275449851020004,0.1945245641007421
fedavg-ctk,report-json,family,dowgin,federation-wide,0.05,10,0.13178340565732222,0.06337949024991706,0.17978722294711272
fedavg-ctk,report-json,family,dowgin,own-domain,0.05,9,0.03770981813921623,0.003788101275573642,0.06578855318905338
fedavg-ctk,report-json,family,gappusin,federation-wide,0.05,10,0.20412867802623363,0.14926118812467362,0.26304877398678045
fedavg-ctk,report-json,family,gappusin,own-domain,0.05,6,0.11442464758512828,0.09116469601413846,0.1390562248995984
fedavg-ctk,report-json,family,hiddad,federation-wide,0.05,10,0.005256359932417937,-0.015002884722373672,0.021407476964913505
fedavg-ctk,report-json,family,hiddad,own-domain,0.05,8,-0.017414973507481737,-0.038475130843387245,-0.001333310539253476
fedavg-ctk,report-json,family,leadbolt,federation-wide,0.05,10,0.11591858600252572,0.09586882192757405,0.14463842512314504
fedavg-ctk,report-json,family,leadbolt,own-domain,0.05,7,0.09310145737506338,0.06858328852089488,0.11461683726958134
fedavg-ctk,report-json,family,revmob,federation-wide,0.05,10,0.10151716355670544,0.08151172037521628,0.12138334861591323
fedavg-ctk,report-json,family,revmob,own-domain,0.05,8,0.016519607843137257,-0.03166666666666666,0.08970588235294119
fedavg-ctk,report-json,priority-macro,,federation-wide,0.05,10,0.10363406717178567,0.0807304579809989,0.13192292952272
fedavg-ctk,report-json,priority-macro,,own-domain,0.05,9,0.026579873187825172,0.005600130040627581,0.05475816891420969
