experiment,family,learner,local_recall,absent_recall,peer_recall,full_recall,ctk_gain,trials,seed_count,novelty,classification
replication-family-set,zdtad,central,0.775727465016983,0.8655556448215158,0.880973102590374,0.8647810912719308,0.015417457768858093,524.3333333333334,6,2.0145477351709147,rescued
replication-family-set,dnotua,fedavg,0.5910279083060355,0.6186835464918418,0.6260168129704791,0.5430228205201051,0.0073332664786372485,251.0,10,2.419425397719887,poorly-rescued-under-full-exposure
replication-family-set,domob,fedavg,0.5505912038003664,0.43696495002513325,0.5650429793380936,0.5856714128555771,0.12807802931296036,399.4,10,1.9483153647151088,poorly-rescued-under-full-exposure
replication-family-set,inmobi,fedavg,0.497737322095675,0.7059714350262289,0.8721148912130644,0.8956622566436991,0.1661434561868355,581.9,10,5.429826268613129,rescued
replication-family-set,kuguo,fedavg,0.5798519341145998,0.5600807611188169,0.5871267324879063,0.6080207249145912,0.02704597136908938,3630.7,10,1.7011989592555143,rescued
replication-family-set,smsreg,fedavg,0.5620403379451778,0.6113457442393267,0.660289228879387,0.6827244388336529,0.04894348464006031,1274.9,10,2.8506119287438962,rescued
replication-family-set,utchi,fedavg,0.008383844986024748,0.017454559536191353,0.133449640500406,0.22126024878708606,0.11599508096421467,518.6666666666666,6,3.097476337956543,poorly-rescued-under-full-exposure
replication-family-set,youmi,fedavg,0.34619755987116396,0.2931106700506715,0.3520682320682599,0.35406062984769354,0.05895756201758836,666.8,10,1.5419646522965145,poorly-rescued-under-full-exposure
replication-family-set,zdtad,fedavg,0.775727465016983,0.7126626186505957,0.6936128164144949,0.6742709614422719,-0.019049802236100772,524.3333333333334,6,2.0145477351709147,rescued
training-support-sensitivity,adwo,central,0.4242877807203998,0.5707874910348404,0.598014907925307,0.5820816680576396,0.027227416890466583,920.3,10,2.0631458838286605,poorly-rescued-under-full-exposure
training-support-sensitivity,airpush,central,0.43660980532910704,0.6149569524078276,0.7183561378484078,0.7844992110903662,0.10339918544058027,2419.2,10,2.5482840362252213,rescued
training-support-sensitivity,dowgin,central,0.5035549092266145,0.8042908581177708,0.82394702834195,0.8134635562200614,0.01965617022417925,5910.7,10,1.88928102476,rescued
training-support-sensitivity,gappusin,central,0.24806804203124688,0.33918536535333355,0.35320100205249216,0.3666947711625529,0.014015636699158627,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
training-support-sensitivity,hiddad,central,0.204866449322878,0.1745716017149548,0.269202472910651,0.22170417528261827,0.09463087119569623,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
training-support-sensitivity,leadbolt,central,0.16522998373237102,0.2335749496904068,0.469053747721971,0.5047992084148897,0.23547879803156416,817.9,10,2.7129486906531946,poorly-rescued-under-full-exposure
training-support-sensitivity,revmob,central,0.1091311921047996,0.22646681978734154,0.4172518151015111,0.4458400699628264,0.19078499531416954,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
training-support-sensitivity,adwo,fedavg,0.4242877807203998,0.6431555654866384,0.7197793047272301,0.7285790887888178,0.07662373924059165,920.3,10,2.0631458838286605,rescued
training-support-sensitivity,airpush,fedavg,0.43660980532910704,0.5546207898969191,0.7083127988124891,0.7579581967067744,0.1536920089155701,2419.2,10,2.5482840362252213,rescued
training-support-sensitivity,dowgin,fedavg,0.5035549092266145,0.6692039433037148,0.6782946282391679,0.6973189563068961,0.009090684935453114,5910.7,10,1.88928102476,rescued
training-support-sensitivity,gappusin,fedavg,0.24806804203124688,0.2549308775007526,0.29056106714541563,0.3057178711061261,0.03563018964466304,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
training-support-sensitivity,hiddad,fedavg,0.204866449322878,0.1991675716453063,0.25676658764407173,0.2588125901739839,0.0575990159987654,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
training-support-sensitivity,leadbolt,fedavg,0.16522998373237102,0.22525965959679123,0.42068614161918794,0.5021341540376193,0.19542648202239662,817.9,10,2.7129486906531946,poorly-rescued-under-full-exposure
training-support-sensitivity,revmob,fedavg,0.1091311921047996,0.19327101172412411,0.4034474968740853,0.422868094283928,0.21017648514996118,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
